Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp,Stage,Temp
990,5.85,790,5.88,790,6.99,790,8.06,790,9.05,790,9.88,790,10.63,790,11.36,789,11.99,790,12.66,790,13.29,790,13.89,790,14.45,790,14.98,790,15.5,790,15.96,790,16.48,790,16.9,789,17.33,790,17.74,789,18.11,789,18.52,789,18.86,789,19.2,789,19.52,789,19.84,789,20.14,789,20.42,789,20.71,789,20.99,789,21.25,789,21.51,789,21.79,789,22.11,789,22.44,789,22.8,789,23.16,789,23.5
990,5.85,790,5.89,790,6.99,790,8.07,790,9.05,790,9.88,790,10.62,790,11.36,790,11.99,790,12.65,790,13.27,790,13.89,790,14.47,790,14.98,790,15.5,790,15.96,790,16.48,790,16.9,789,17.33,790,17.74,790,18.12,789,18.52,789,18.86,790,19.2,789,19.52,789,19.84,789,20.14,789,20.42,789,20.71,789,20.99,789,21.25,789,21.51,789,21.79,789,22.11,789,22.44,789,22.8,789,23.17,789,23.49
990,5.86,790,5.89,790,7,790,8.07,790,9.05,790,9.88,790,10.62,790,11.36,790,12,790,12.65,790,13.27,790,13.89,790,14.47,790,14.98,790,15.51,790,15.97,790,16.48,789,16.9,790,17.34,789,17.75,790,18.12,790,18.51,789,18.86,789,19.2,789,19.53,790,19.85,789,20.14,790,20.42,789,20.72,789,20.99,789,21.25,789,21.48,789,21.79,789,22.12,789,22.45,789,22.81,789,23.16,789,23.49
990,5.86,790,5.9,790,7,790,8.08,790,9.07,790,9.88,790,10.64,790,11.37,790,12,790,12.66,790,13.28,790,13.88,790,14.46,790,14.98,790,15.51,789,15.97,790,16.47,790,16.9,790,17.34,790,17.75,790,18.13,790,18.51,790,18.86,789,19.2,789,19.53,789,19.85,789,20.14,789,20.43,789,20.72,789,20.99,789,21.25,790,21.48,789,21.79,789,22.12,789,22.45,789,22.81,789,23.16,789,23.5
989,5.86,790,5.9,790,7.01,790,8.08,790,9.07,790,9.9,790,10.64,790,11.37,790,12,790,12.66,790,13.28,790,13.88,790,14.46,790,15,790,15.51,790,15.97,790,16.47,790,16.9,790,17.35,790,17.75,789,18.13,790,18.52,789,18.87,789,19.2,790,19.52,789,19.84,789,20.14,789,20.43,789,20.73,789,20.99,789,21.25,789,21.51,789,21.79,789,22.11,789,22.45,789,22.82,789,23.15,790,23.5
990,5.87,812,5.89,790,7.01,790,8.09,790,9.08,790,9.9,790,10.64,790,11.36,790,12,790,12.66,790,13.29,790,13.89,790,14.46,790,15,790,15.51,790,15.97,790,16.48,790,16.9,790,17.35,790,17.75,789,18.13,789,18.52,789,18.87,789,19.21,789,19.52,789,19.84,789,20.13,789,20.41,789,20.73,789,20.99,789,21.25,789,21.51,789,21.79,811,22.11,789,22.45,789,22.81,789,23.15,811,23.51
990,5.87,812,5.89,790,7.01,812,8.09,790,9.08,812,9.9,812,10.63,812,11.36,812,12,812,12.66,811,13.29,811,13.89,812,14.47,812,14.99,790,15.5,812,15.98,789,16.48,811,16.9,789,17.35,811,17.75,805,18.13,789,18.51,811,18.87,811,19.21,811,19.52,811,19.84,810,20.13,811,20.41,790,20.72,811,20.99,789,21.25,789,21.5,810,21.79,811,22.12,789,22.44,811,22.81,811,23.16,811,23.51
989,5.86,812,5.9,790,7.01,812,8.08,811,9.08,812,9.9,812,10.63,812,11.37,812,12,812,12.66,812,13.29,812,13.9,812,14.47,812,14.99,812,15.5,812,15.98,811,16.49,811,16.91,811,17.35,811,17.75,811,18.13,790,18.51,811,18.87,811,19.21,811,19.52,811,19.84,811,20.14,811,20.41,789,20.73,811,20.99,810,21.25,811,21.5,811,21.79,811,22.12,811,22.44,811,22.8,811,23.16,811,23.51
989,5.86,812,5.9,812,7.02,812,8.08,812,9.08,812,9.9,812,10.63,812,11.37,812,12,811,12.66,812,13.29,811,13.9,812,14.45,811,15,812,15.52,811,15.99,812,16.49,811,16.91,812,17.35,811,17.75,811,18.13,811,18.52,811,18.87,811,19.2,811,19.53,811,19.85,811,20.14,811,20.41,811,20.73,811,21,811,21.25,811,21.51,811,21.78,811,22.12,811,22.45,811,22.8,811,23.17,811,23.51
989,5.88,811,5.91,812,7.02,811,8.08,812,9.06,812,9.91,812,10.63,812,11.38,812,11.98,812,12.67,812,13.3,812,13.9,812,14.45,812,15,812,15.52,811,15.99,811,16.48,812,16.9,811,17.35,812,17.75,811,18.13,811,18.52,811,18.88,811,19.2,811,19.53,811,19.85,811,20.15,811,20.43,811,20.71,811,21,811,21.25,811,21.51,811,21.78,811,22.12,811,22.45,811,22.8,811,23.17,811,23.51
